1736925691000: GET: /api/user
1736925698156: GET: /
1736925703837: POST: /api/user
1736925860096: GET: /api/user/1000
1736925932313: ::1: POST: /api/user
1737205966559: ::1: GET: /
1737205967499: ::1: GET: /favicon.ico
1737205972685: ::1: GET: /
1737206290613: ::1: POST: /api/user
1737207426791: ::1: POST: /api/user
1737207699398: ::1: POST: /api/user
1737208081135: ::1: GET: /api/user/1000
1737208090990: ::1: GET: /api/user/900
1737208117263: ::1: GET: /api/user
1737208125593: ::1: GET: /api/user/1000
1737208134653: ::1: GET: /api/user
1737208168745: ::1: GET: /api/user/900
1737208229862: ::1: GET: /api/user/10
1737208250890: ::1: GET: /api/user
1737208385553: ::1: GET: /api/user
1737208391953: ::1: GET: /api/user/1000
1737208399075: ::1: GET: /api/user/1003
1737208404672: ::1: GET: /api/user/1004
1737208408131: ::1: GET: /api/user/1005
1737208415684: ::1: GET: /api/user/1013
1737208428803: ::1: GET: /api/user/10000
